model,threshold,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps,candidate_count,confirmed_count
signature_only,0.8,0.0,0.7245174868441933,0.3467713582561819,0.01748301329394387,0.03328777217169246,0.01226081619993885,2959,449045,5574,166291,0.9735619998537004,0.0015605231224082305,640810.7548299445,,
supervised_rf_only,0.8,106.06284080003388,0.9941878823919765,0.9987593052109182,0.9797932053175775,0.9891853522067727,0.0004531266841025122,165830,454413,206,3420,0.0016169000882655382,2.59173013607911e-06,385842640.8209485,,
two_stage_signature_supervised_rf,0.8,106.06284080003388,0.7334408345341731,0.9996614759647935,0.017447562776957165,0.034296532020162133,2.1996440975850108e-06,2953,454618,1,166297,0.001479199854657054,2.371010347776623e-06,421761128.5154171,8533.0,2954.0
supervised_rf_only,0.9,106.06284080003388,0.9895490880296985,0.9987862143373833,0.9626469719350074,0.9803836618769105,0.0004355295313218321,162928,454421,198,6322,0.001873200060799718,3.002553518125949e-06,333049850.39006144,,
two_stage_signature_supervised_rf,0.9,106.06284080003388,0.7333719098079885,0.9996564754379939,0.01719350073855244,0.03380556572045934,2.1996440975850108e-06,2910,454618,1,166340,0.0016522998921573162,2.6484725032936663e-06,377576130.67773604,8533.0,2911.0
supervised_rf_only,0.95,106.06284080003388,0.9818936347213918,1.0,0.933258493353028,0.9654771946553221,0.0,157954,454619,0,11296,0.001854300033301115,2.9722586525394196e-06,336444474.3547559,,
two_stage_signature_supervised_rf,0.95,106.06284080003388,0.7332388690574464,1.0,0.016697193500738554,0.032845951788744505,0.0,2826,454619,0,166424,0.0017188999336212873,2.755225750311824e-06,362946665.9444601,8533.0,2826.0
