model,quantile,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps
signature_only,0.95,0.0,0.3565749945421057,0.7240358961920932,0.01763785556952572,0.03443681412172396,0.01251374774536976,14926,448931,5689,831322,1.8106680000200868,0.001391892182773415,718446.4517987664
rf_novelty_only,0.95,146.94610460009426,0.5142727778683156,0.9118988606451861,0.28042370558039725,0.4289410682315047,0.05043112929479565,237308,431693,22927,608940,0.0026630000211298466,2.047094725314057e-06,488497179.75145686
hybrid_signature_rf_novelty,0.95,146.94610460009426,0.5145502848867064,0.9117459830501975,0.2809531012185553,0.42954315105987434,0.050622497910342706,237756,431606,23014,608492,0.009708300000056624,7.462940129249566e-06,133995447.19388694
