model,quantile,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps
signature_only,0.95,0.0,0.3565749945421057,0.7240358961920932,0.01763785556952572,0.03443681412172396,0.01251374774536976,14926,448931,5689,831322,1.8155660000629723,0.0013956573611334682,716508.2403806195
rf_novelty_only,0.95,94.20235309982672,0.5142727778683156,0.9118988606451861,0.28042370558039725,0.4289410682315047,0.05043112929479565,237308,431693,22927,608940,0.0049050000961869955,3.7705594235441224e-06,265212634.96228206
hybrid_signature_rf_novelty,0.95,94.20235309982672,0.5142466414732317,0.9117512591869744,0.28043434076062806,0.42893717776663187,0.050525713782939595,237317,431650,22970,608931,0.011557399993762374,8.884375658223873e-06,112557149.59264968
