model,threshold,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps
supervised_rf,0.8,113.675314999884,0.9941878823919765,0.9987593052109182,0.9797932053175775,0.9891853522067727,0.0004531266841025122,165830,454413,206,3420,0.002334499964490533,3.7419714146568154e-06,267238813.23174465
supervised_rf,0.9,113.675314999884,0.9895490880296985,0.9987862143373833,0.9626469719350074,0.9803836618769105,0.0004355295313218321,162928,454421,198,6322,0.0018082999158650637,2.8985250362897717e-06,345003057.58270764
supervised_rf,0.95,113.675314999884,0.9818936347213918,1.0,0.933258493353028,0.9654771946553221,0.0,157954,454619,0,11296,0.002110700123012066,3.383242512469871e-06,295574436.74647176
supervised_rf,0.98,113.675314999884,0.9671293172124276,1.0,0.8788360413589364,0.935511159050671,0.0,148743,454619,0,20507,0.0018332998733967543,2.9385974834408417e-06,340298392.56143624
