model,quantile,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps
signature_only,0.95,0.0,0.3565749945421057,0.7240358961920932,0.01763785556952572,0.03443681412172396,0.01251374774536976,14926,448931,5689,831322,4.486704600043595,0.0034490083544553287,289938.41047332605
rf_novelty_only,0.95,235.26663809991442,0.5142727778683156,0.9118988606451861,0.28042370558039725,0.4289410682315047,0.05043112929479565,237308,431693,22927,608940,0.0028593000024557114,2.197993956693309e-06,454960304.57900494
hybrid_signature_rf_novelty,0.95,235.26663809991442,0.5145502848867064,0.9117459830501975,0.2809531012185553,0.42954315105987434,0.050622497910342706,237756,431606,23014,608492,0.01089280005544424,8.373486053499848e-06,119424573.42268243
