model,quantile,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps
signature_only,0.95,0.0,0.3565749945421057,0.7240358961920932,0.01763785556952572,0.03443681412172396,0.01251374774536976,14926,448931,5689,831322,1.8502144000958651,0.001422292192671251,703090.4093777447
rf_novelty_only,0.95,93.89596340013668,0.5142727778683156,0.9118988606451861,0.28042370558039725,0.4289410682315047,0.05043112929479565,237308,431693,22927,608940,0.003166399896144867,2.4340670199780965e-06,410835031.16072726
hybrid_signature_rf_novelty,0.95,93.89596340013668,0.5217639299298622,0.8998908055410835,0.29799775006853785,0.44773019009624654,0.06170867977651665,252180,426566,28054,594068,0.013227500021457672,1.0168210780384844e-05,98345718.98618256
